brush,diameter,path,length,variant,repeat,contacts,pages,pixel_contact_tests,cpu_prepare_ms,cpu_submit_ms,gpu_ms
GPen,256,curve,512,simple,15,14,8,3932160,0.259166,0.502917,2.454740
GPen,256,curve,512,contact,16,14,8,3932160,0.259166,0.420156,5.360156
GPen,256,curve,512,simple,16,14,8,3932160,0.259166,0.538281,2.459167
GPen,256,curve,512,merged,16,13,8,3670016,0.222135,0.522708,2.314687
GPen,256,curve,512,simple,17,14,8,3932160,0.259166,0.494479,2.454323
GPen,256,curve,512,merged,17,13,8,3670016,0.222135,0.475156,2.316302
GPen,256,curve,512,contact,17,14,8,3932160,0.259166,0.389584,5.368125
GPen,256,curve,512,merged,18,13,8,3670016,0.222135,0.418542,2.311406
GPen,256,curve,512,contact,18,14,8,3932160,0.259166,0.413489,5.365417
GPen,256,curve,512,simple,18,14,8,3932160,0.259166,0.411666,2.451094
GPen,256,curve,512,contact,19,14,8,3932160,0.259166,0.532135,5.363698
GPen,256,curve,512,simple,19,14,8,3932160,0.259166,0.457032,2.454792
GPen,256,curve,512,merged,19,13,8,3670016,0.222135,0.430261,2.317396
GPen,256,curve,512,simple,20,14,8,3932160,0.259166,0.402500,2.458906
GPen,256,curve,512,merged,20,13,8,3670016,0.222135,0.493490,2.313958
GPen,256,curve,512,contact,20,14,8,3932160,0.259166,0.518698,5.370729
GPen,256,curve,512,merged,21,13,8,3670016,0.222135,0.463698,2.315937
GPen,256,curve,512,contact,21,14,8,3932160,0.259166,0.443907,5.374010
GPen,256,curve,512,simple,21,14,8,3932160,0.259166,0.448541,2.455885
GPen,256,curve,512,contact,22,14,8,3932160,0.259166,0.580677,5.377552
GPen,256,curve,512,simple,22,14,8,3932160,0.259166,0.500885,2.454635
GPen,256,curve,512,merged,22,13,8,3670016,0.222135,0.386146,2.310521
GPen,256,curve,512,simple,23,14,8,3932160,0.259166,0.376145,2.458594
GPen,256,curve,512,merged,23,13,8,3670016,0.222135,0.528803,2.314323
GPen,256,curve,512,contact,23,14,8,3932160,0.259166,0.519740,5.364427
GPen,256,curve,512,merged,24,13,8,3670016,0.222135,0.451302,2.309792
GPen,256,curve,512,contact,24,14,8,3932160,0.259166,0.511614,5.359896
GPen,256,curve,512,simple,24,14,8,3932160,0.259166,0.514479,2.456615
GPen,256,curve,512,contact,25,14,8,3932160,0.259166,0.431354,5.364531
GPen,256,curve,512,simple,25,14,8,3932160,0.259166,0.402969,2.450417
GPen,256,curve,512,merged,25,13,8,3670016,0.222135,0.669792,2.317760
GPen,256,curve,512,simple,26,14,8,3932160,0.259166,0.434792,2.458229
GPen,256,curve,512,merged,26,13,8,3670016,0.222135,0.430000,2.314948
GPen,256,curve,512,contact,26,14,8,3932160,0.259166,0.519063,5.368437
GPen,256,curve,512,merged,27,13,8,3670016,0.222135,0.512708,2.316146
GPen,256,curve,512,contact,27,14,8,3932160,0.259166,1.035156,5.375833
GPen,256,curve,512,simple,27,14,8,3932160,0.259166,0.464948,2.453750
